"ASIGNATURA","#ESTUDIANTE","#MUJERES","#HOMBRE","SEMESTRE","MODALIDAD","TIPOESTRATEGIA","ESTRATEGIA","COMPETENCIA_EVALUAR","TIPOHERRAMIENTA","HERRAMIENTA","TIPOLICENCIA","FUNCIONES","INTERACCION","DISENO","USABILIDAD","DOCUMENTACION","ACTUALIZACIONES","%APROVECHAMIENTO","%APROBACION","VALORACION"
"Teoria general de sistemas","78","32","46","II","Virtual","Aprendizaje colaborativo","Socializacion de producciones grupales  ","Actitudinal","Comunicacion en linea y webconference","teams","Libre","Video llamada","4","2","2","5","2","4.2","5","1.5"
"Fundamentos de programacion","103","50","53","II","A distancia","Autoaprendizaje ","Lectura independiente","Actitudinal","Repositorio de imagenes","Morguefile","Hibrida","Multimedia","2","2","4","4","3","0.2","4","3.5"
"Investigacion bibliografia","56","50","6","II","A distancia","Autoaprendizaje ","Indagacion y analisis de informacion","Actitudinal","Repositorio de imagenes","openphoto","Propietaria","Multimedia","1","3","2","4","3","3.45","4.25","4.5"
"Catedra JDC","106","52","54","II","A distancia","Autoaprendizaje ","Elaboracion de ensayo","Actitudinal","Repositorio de imagenes","Flickr","Libre","Multimedia","1","2","3","1","4","4.25","1.1","3"
"Calculo integral","22","7","15","III","A distancia","Autoaprendizaje ","Produccion de texto cientifico","Actitudinal","Repositorio de imagenes","dreamstime, ","Hibrida","Multimedia","4","1","4","3","5","3.3","4.6","3.5"
"Teoria de la probabilidad","29","14","15","III","A distancia","Autoaprendizaje ","Trabajo Individual","Actitudinal","Repositorio de imagenes","freepik","Propietaria","Multimedia","3","4","3","1","1","2.65","4.65","4"
"Electronica Basica","78","23","55","III","A distancia","Autoaprendizaje ","Desarrollo de Proyecto","Actitudinal","Repositorio de imagenes","freeimages","Libre","Multimedia","2","2","1","5","4","2","3.7","5"
"Arquitectura de computadores","63","15","48","III","Presencial","Didactica","Estudio de caso","Procedimental","Ofimaticas","excel","Hibrida","Tablero","4","3","3","4","2","1.1","2.25","2"
"Programacion orientada a objetos","65","18","47","III","Presencial","Didactica","Resolucion de problemas","Procedimental","Ofimaticas","powerpoint","Propietaria","Tablero","4","4","1","1","1","4.55","4.6","1.5"
"Metodologia de la investigacion","95","42","53","III","Presencial","Didactica","Trabajo por proyectos","Procedimental","Ofimaticas","word","Libre","Tablero","4","3","5","4","5","2.3","0.9","5"
"Etica y convivencia","114","58","56","III","Presencial","Didactica","Gamificacion y videojuegos educativos","Procedimental","Busquedad de informacion","google","Hibrida","Tablero","1","2","1","5","5","3.7","1.05","4"
"Ecuaciones diferenciales","31","14","17","IV","Presencial","Didactica","Clase invertida (Flipped - Clasroom)","Procedimental","Busquedad de informacion","bing","Propietaria","Tablero","3","2","5","1","1","1.25","5","4.5"
"Estadistica","51","4","47","IV","Presencial","Didactica","Role Playing ","Procedimental","Busquedad de informacion","yahoo","Libre","Tablero","5","1","2","3","4","0.9","2.95","1.5"
"Electronica Digital","50","42","8","IV","Presencial","Didactica","Trabajo de investigacion","Procedimental","Busquedad de informacion","alta vista","Hibrida","Tablero","2","5","3","5","5","0.1","2.2","0.5"
"Redes de computadores","23","0","23","IV","Presencial","Didactica","Panel","Procedimental","Busquedad de informacion","Wikipedia","Propietaria","Tablero","5","4","4","2","5","4.55","1.9","2"
"Estructura de datos","95","50","45","IV","Presencial","Didactica","Simulacion Clinica","Procedimental","Busquedad de informacion","lycos","Libre","Tablero","4","2","3","3","1","3.55","1.8","1.5"
"Creatividad","85","34","51","IV","Presencial","Didactica","Debate","Procedimental","Busquedad de informacion","wolfram alpha","Hibrida","Tablero","3","3","4","3","4","1.2","0.55","0.5"
"Formacion EstŽtica","89","33","56","IV","Presencial","Evaluacion","Pruebas Escritas (con feedback todas las alternativas)","Cognitivo","Creacion de blog","zanran","Propietaria","Encuestas","2","2","3","5","3","2.7","2.05","2.5"
"Calculo multivariado","71","20","51","V","Presencial","Evaluacion","Portafolio","Cognitivo","Creacion de blog","wix","Libre","Encuestas","3","2","5","3","5","0.1","2.1","5"
"Microprocesadores","30","20","10","V","Presencial","Evaluacion","Poster","Cognitivo","Creacion de blog","weebly","Hibrida","Encuestas","1","3","2","1","2","1.3","0.85","0.5"
"Bases de datos I","84","42","42","V","Presencial","Evaluacion","Proyectos","Cognitivo","Creacion de blog","blogger","Propietaria","Encuestas","1","3","3","3","3","3.45","1.05","3.5"
"Sistemas de comunicacion","51","9","42","V","Presencial","Evaluacion","Ensayos","Cognitivo","Creacion de blog","wordspress","Libre","Encuestas","3","3","2","3","4","0.35","4.6","3"
"Principios y desarrollo de software","75","37","38","V","Presencial","Evaluacion","Articulo cientifico","Cognitivo","Creacion de blog","hubSpot","Hibrida","Encuestas","1","5","1","4","2","1.8","2.45","1"
"Inovacion tecnologico","19","10","9","V","Presencial","Evaluacion","Bitacora de reflexion","Cognitivo","Creacion de blog","drupal","Propietaria","Encuestas","4","1","4","1","1","4.85","2.1","5"
"Antropologia teologica","30","27","3","V","Presencial","Evaluacion","Trabajo de investigacion","Cognitivo","Creacion de blog","zanran","Libre","Encuestas","4","4","2","4","4","1.2","0.25","3.5"
"Metodos numericos","16","4","12","VI","Presencial","Evaluacion","Rœbrica","Cognitivo","Creacion de blog","wix","Hibrida","Encuestas","2","4","1","2","3","3.9","4.5","3.5"
"Metodos numericos","29","14","15","VI","Dual","Evaluacion","Clase magistral","Actitudinal","Creacion de objetos virtuales de aprendizaje","Access","Propietaria","Video","1","2","5","1","3","1.6","4.75","4.5"
"Fundamento Matematico","82","40","42","I","Dual"," Aprendizaje interactivo","Analisis de videos, imagenes,","Actitudinal","Creacion de objetos virtuales de aprendizaje","Adapt","Libre","Video","3","3","3","1","3","5","2.25","4"
"Fisica I","102","42","60","I","Dual"," Aprendizaje interactivo","Seminario","Actitudinal","Comunicacion en linea y webconference","Adium ","Hibrida","Video","4","1","2","3","5","1.2","3.35","2"
"Logica Matematica","34","30","4","I","Dual"," Aprendizaje interactivo","Exposiciones","Actitudinal","Creacion de imágenes","Adobe Acrobat Pro","Propietaria","Video","2","1","1","1","2","1.65","3.5","4"
"Introduccion a la ingenieria","54","33","21","I","Dual"," Aprendizaje interactivo","Socializacion y debates","Actitudinal","Creacion de video","Adobe After Effects","Libre","Video","1","1","1","1","1","0.65","3.8","5"
"Algoritmia","42","30","12","I","Dual"," Aprendizaje interactivo","Aprendizaje basado en problemas","Actitudinal","Creacion de video","Adobe Animate","Hibrida","Video llamada","5","1","1","3","1","0.1","1.95","2.5"
"Tecnicas de Lectura y escrita","58","38","20","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en proyectos","Actitudinal","Presentaciones y multimedia","Adobe Audition","Propietaria","Video llamada","5","1","1","1","1","0.25","4.2","3.5"
"Vida universitaria","26","12","14","I","Virtual","Aprendizaje colaborativo","Analisis y discusion grupal","Actitudinal","Presentaciones y multimedia","Adobe Captivate","Libre","Video llamada","3","5","3","2","4","1.9","3.3","2"
"Fisica II","45","26","19","II","Virtual","Aprendizaje colaborativo","Talleres practicos y analisis de casos ","Actitudinal","Presentaciones y multimedia","Adobe Fireworks","Hibrida","Video llamada","4","1","1","4","1","3.85","4.7","1.5"
"Alegra lineal","81","23","58","II","Virtual","Aprendizaje colaborativo","Socializacion de producciones grupales  ","Actitudinal","Presentaciones y multimedia","Adobe Flash ","Propietaria","Video llamada","5","1","5","2","1","1.6","0.35","2.5"
"Teoria general de sistemas","78","32","46","II","Virtual","Aprendizaje colaborativo","Lectura independiente","Actitudinal","Presentaciones y multimedia","Adobe Illustrator","Libre","Video llamada","1","2","4","3","2","3.65","2.25","5"
"Fundamentos de programacion","103","50","53","II","A distancia","Autoaprendizaje ","Indagacion y analisis de informacion","Actitudinal","Presentaciones y multimedia","Adobe Indesign","Hibrida","Multimedia","1","5","3","3","3","4.9","1.15","2"
"Investigacion bibliografia","56","50","6","II","A distancia","Autoaprendizaje ","Elaboracion de ensayo","Actitudinal","Presentaciones y multimedia","ADOBE PHOTOSHOP","Propietaria","Multimedia","5","3","2","5","2","0.35","4","1"
"Catedra JDC","106","52","54","II","A distancia","Autoaprendizaje ","Produccion de texto cientifico","Actitudinal","Creacion de video","ADOBE PREMIERE PRO","Libre","Multimedia","5","5","4","4","1","4.35","1.8","4"
"Calculo integral","22","7","15","III","A distancia","Autoaprendizaje ","Trabajo Individual","Actitudinal","Presentaciones y multimedia","Adobe Presenter ","Hibrida","Multimedia","4","4","1","1","3","0.55","3.1","4"
"Teoria de la probabilidad","29","14","15","III","A distancia","Autoaprendizaje ","Desarrollo de Proyecto","Actitudinal","Presentaciones y multimedia","Adobe Reader","Propietaria","Multimedia","5","5","5","5","1","2.95","4.85","3"
"Electronica Basica","78","23","55","III","A distancia","Autoaprendizaje ","Estudio de caso","Procedimental","Presentaciones y multimedia","Adobe XD","Libre","Multimedia","5","5","2","5","1","0.05","3.6","1"
"Arquitectura de computadores","63","15","48","III","Presencial","Didactica","Resolucion de problemas","Procedimental","Presentaciones y multimedia","Affinity Designer","Hibrida","Tablero","2","5","2","1","3","3.15","3.25","2"
"Programacion orientada a objetos","65","18","47","III","Presencial","Didactica","Trabajo por proyectos","Procedimental","Creacion de objetos virtuales de aprendizaje","Airtable","Propietaria","Tablero","5","2","1","4","2","3.35","3.1","1"
"Metodologia de la investigacion","95","42","53","III","Presencial","Didactica","Gamificacion y videojuegos educativos","Procedimental","Creacion de objetos virtuales de aprendizaje","Amazon","Libre","Tablero","1","5","1","3","2","3.4","4.95","2"
"Etica y convivencia","114","58","56","III","Presencial","Didactica","Clase invertida (Flipped - Clasroom)","Procedimental","Creacion de actividades educativas-interactivas","Amplify ","Hibrida","Tablero","2","2","4","2","3","1.8","3.2","5"
"Ecuaciones diferenciales","31","14","17","IV","Presencial","Didactica","Role Playing ","Procedimental","Presentaciones y multimedia","Anchor","Propietaria","Tablero","2","1","5","3","2","4.7","0.1","4.5"
"Estadistica","51","4","47","IV","Presencial","Didactica","Trabajo de investigacion","Procedimental","Filtrado y selección de informacion ","Anders Pink","Libre","Tablero","4","4","2","1","4","2.85","0.9","2.5"
"Electronica Digital","50","42","8","IV","Presencial","Didactica","Panel","Procedimental","Aprendizaje Gestion de aprendizaje","ANEWSPRING","Hibrida","Tablero","5","4","1","1","2","3.55","4.3","2.5"
"Redes de computadores","23","0","23","IV","Presencial","Didactica","Simulacion Clinica","Procedimental","Creacion de video","Animoto","Propietaria","Tablero","3","1","4","1","3","4.15","4.55","3"
"Estructura de datos","95","50","45","IV","Presencial","Didactica","Debate","Procedimental","Mapas mentales","Answer Garden","Libre","Tablero","5","4","1","3","1","3.8","3.65","2"
"Creatividad","85","34","51","IV","Presencial","Didactica","Pruebas Escritas (con feedback todas las alternativas)","Cognitivo","Creacion de video","Apple Clips","Hibrida","Tablero","2","3","3","5","2","0.6","1.9","4"
"Formacion EstŽtica","89","33","56","IV","Presencial","Evaluacion","Portafolio","Cognitivo","Gestor bibliograficos","Apple iBooks Author","Propietaria","Encuestas","2","5","3","5","3","1.3","3.1","2"
"Calculo multivariado","71","20","51","V","Presencial","Evaluacion","Poster","Cognitivo","Creacion de video","Apple iMovie","Libre","Encuestas","4","5","3","5","3","4.25","4.45","1"
"Microprocesadores","30","20","10","V","Presencial","Evaluacion","Proyectos","Cognitivo","Ofimaticas","APPLE KEYNOTE","Hibrida","Encuestas","1","5","5","3","1","0.45","1.4","4"
"Bases de datos I","84","42","42","V","Presencial","Evaluacion","Ensayos","Cognitivo","Ofimaticas","Apple Notes","Propietaria","Encuestas","3","1","1","2","4","3.5","0.25","1"
"Sistemas de comunicacion","51","9","42","V","Presencial","Evaluacion","Articulo cientifico","Cognitivo","Presentaciones y multimedia","APPLE PODCASTS","Libre","Encuestas","2","2","4","5","2","3.85","2.5","5"
"Principios y desarrollo de software","75","37","38","V","Presencial","Evaluacion","Bitacora de reflexion","Cognitivo","Creacion de actividades educativas-interactivas","ARTICULATE","Hibrida","Encuestas","5","1","2","1","1","4.7","4","2.5"
"Inovacion tecnologico","19","10","9","V","Presencial","Evaluacion","Trabajo de investigacion","Cognitivo","Respositorio de imágenes","Artsteps","Propietaria","Encuestas","3","4","2","3","5","1.05","3.6","2.5"
"Antropologia teologica","30","27","3","V","Presencial","Evaluacion","Rœbrica","Cognitivo","Organización de contenidos","Asana","Libre","Encuestas","4","1","2","4","2","2.6","0.05","1"
"Fundamento Matematico","82","40","42","I","Dual"," Aprendizaje interactivo","Clase magistral","Actitudinal","Busquedad de informacion","AskDelphi","Hibrida","Encuestas","4","2","5","2","3","4.8","3.65","1"
"Fisica I","102","42","60","I","Dual"," Aprendizaje interactivo","Analisis de videos, imagenes,","Actitudinal","Presentaciones y multimedia","AUDACITY","Propietaria","Video","2","2","4","4","5","3.25","2.05","3"
"Logica Matematica","34","30","4","I","Dual"," Aprendizaje interactivo","Seminario","Actitudinal","Presentaciones y multimedia","Audiate","Libre","Video","3","4","4","5","1","4.6","1.6","5"
"Introduccion a la ingenieria","54","33","21","I","Dual"," Aprendizaje interactivo","Exposiciones","Actitudinal","Presentaciones y multimedia","AUDIBLE","Hibrida","Video","1","5","1","3","5","3.8","4.1","4.5"
"Algoritmia","42","30","12","I","Dual"," Aprendizaje interactivo","Socializacion y debates","Actitudinal","Presentaciones y multimedia","Aviary (joined Adobe)","Propietaria","Video","4","5","1","2","3","3.2","3.3","4.5"
"Tecnicas de Lectura y escrita","58","38","20","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en problemas","Actitudinal","Organización de contenidos","Ayoa","Libre","Video","1","5","2","5","2","3.9","0","4.5"
"Vida universitaria","26","12","14","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en proyectos","Actitudinal","Organización de contenidos","Axonify","Hibrida","Video llamada","4","3","4","5","1","1.45","3.95","1.5"
"Calculo diferencial","52","38","14","II","Virtual","Aprendizaje colaborativo","Analisis y discusion grupal","Actitudinal","Evaluacion","Baamboozle","Propietaria","Video llamada","3","1","1","4","4","0.45","0.8","1"
"Fisica II","45","26","19","II","Virtual","Aprendizaje colaborativo","Dialogo problematizador y reflexivo ","Actitudinal","Organización de contenidos","Basecamp","Libre","Video llamada","3","1","1","5","5","2","3.85","4.5"
"Alegra lineal","81","23","58","II","Virtual","Aprendizaje colaborativo","Talleres practicos y analisis de casos ","Actitudinal","Creacion de actividades educativas-interactivas","BigBlueButton","Hibrida","Video llamada","1","4","3","4","1","2.25","3","5"
"Teoria general de sistemas","78","32","46","II","Virtual","Aprendizaje colaborativo","Socializacion de producciones grupales  ","Actitudinal","Busquedad de informacion","Bing","Propietaria","Video llamada","2","4","2","1","2","2.75","3.8","1"
"Fundamentos de programacion","103","50","53","II","A distancia","Autoaprendizaje ","Lectura independiente","Actitudinal","Creacion de video","BITEABLE","Libre","Video llamada","5","4","5","4","3","4.15","4.75","2.5"
"Investigacion bibliografia","56","50","6","II","A distancia","Autoaprendizaje ","Indagacion y analisis de informacion","Actitudinal","Creacion de actividades educativas-interactivas","Blackboard  ","Hibrida","Multimedia","1","1","2","5","5","3.65","2.15","4.5"
"Catedra JDC","106","52","54","II","A distancia","Autoaprendizaje ","Elaboracion de ensayo","Actitudinal","Creacion de actividades educativas-interactivas","Blendspace ","Propietaria","Multimedia","5","3","5","1","5","1.55","1.95","1.5"
"Calculo integral","22","7","15","III","A distancia","Autoaprendizaje ","Produccion de texto cientifico","Actitudinal","Aprendizaje Gestion de aprendizaje","BLINKIST","Libre","Multimedia","3","4","2","4","3","0.3","4.65","1.5"
"Teoria de la probabilidad","29","14","15","III","A distancia","Autoaprendizaje ","Trabajo Individual","Actitudinal","Creacion de BLOG","Blogger","Hibrida","Multimedia","4","2","2","5","5","0.8","1.75","3.5"
"Electronica Basica","78","23","55","III","A distancia","Autoaprendizaje ","Desarrollo de Proyecto","Actitudinal","Creacion de BLOG","Bloglines ","Propietaria","Multimedia","4","5","4","3","1","4.7","2.2","3.5"
"Arquitectura de computadores","63","15","48","III","Presencial","Didactica","Estudio de caso","Procedimental","Presentaciones y multimedia","Blubrry","Libre","Multimedia","2","2","2","3","3","0.4","1.2","3"
"Programacion orientada a objetos","65","18","47","III","Presencial","Didactica","Resolucion de problemas","Procedimental","Comunicacion en linea y webconference","BlueJeans","Hibrida","Tablero","3","5","5","4","5","4","2.9","5"
"Metodologia de la investigacion","95","42","53","III","Presencial","Didactica","Trabajo por proyectos","Procedimental","Presentaciones y multimedia","Boclips","Propietaria","Tablero","4","5","5","2","4","1.25","1.65","3.5"
"Etica y convivencia","114","58","56","III","Presencial","Didactica","Gamificacion y videojuegos educativos","Procedimental","Aprendizaje Gestion de aprendizaje","Book Creator","Libre","Tablero","3","3","5","3","1","1.65","3.5","0.5"
"Ecuaciones diferenciales","31","14","17","IV","Presencial","Didactica","Clase invertida (Flipped - Clasroom)","Procedimental","Evaluacion","bookwidgets","Hibrida","Tablero","3","4","5","4","4","2.05","3.8","2.5"
"Estadistica","51","4","47","IV","Presencial","Didactica","Role Playing ","Procedimental","Organización de contenidos","Box","Propietaria","Tablero","1","2","1","2","4","0.6","3.95","2"
"Electronica Digital","50","42","8","IV","Presencial","Didactica","Trabajo de investigacion","Procedimental","Busquedad de informacion","Brave","Libre","Tablero","5","4","4","1","5","4.45","2.65","4.5"
"Redes de computadores","23","0","23","IV","Presencial","Didactica","Panel","Procedimental","Mapas mentales","Bubblus","Hibrida","Tablero","3","3","3","4","5","1.55","2.7","2.5"
"Estructura de datos","95","50","45","IV","Presencial","Didactica","Simulacion Clinica","Procedimental","Organización de contenidos","Bublup","Propietaria","Tablero","5","4","4","4","4","1.35","3.9","0.5"
"Creatividad","85","34","51","IV","Presencial","Didactica","Debate","Procedimental","Comunicacion en linea y webconference","Buddypress","Libre","Tablero","1","3","2","3","3","2","3.05","1.5"
"Formacion EstŽtica","89","33","56","IV","Presencial","Evaluacion","Pruebas Escritas (con feedback todas las alternativas)","Cognitivo","Organización de contenidos","Buffer","Hibrida","Tablero","1","4","4","2","4","1.4","5","0.5"
"Calculo multivariado","71","20","51","V","Presencial","Evaluacion","Portafolio","Cognitivo","Organización de contenidos","Calendly","Propietaria","Encuestas","2","5","2","5","5","3.6","3.75","1"
"Microprocesadores","30","20","10","V","Presencial","Evaluacion","Poster","Cognitivo","Presentaciones y multimedia","CAMTASIA","Libre","Encuestas","4","4","2","2","2","2.5","3.4","1"
"Bases de datos I","84","42","42","V","Presencial","Evaluacion","Proyectos","Cognitivo","Presentaciones y multimedia","CANVA","Hibrida","Encuestas","3","4","2","4","5","1.7","4.25","3.5"
"Sistemas de comunicacion","51","9","42","V","Presencial","Evaluacion","Ensayos","Cognitivo","Presentaciones y multimedia","CANVAS","Propietaria","Encuestas","2","4","5","1","2","4.65","0.05","0.5"
"Principios y desarrollo de software","75","37","38","V","Presencial","Evaluacion","Articulo cientifico","Cognitivo","Comunicacion en linea y webconference","Cisco WebEx","Libre","Encuestas","2","4","5","3","3","2.6","2.2","2.5"
"Inovacion tecnologico","19","10","9","V","Presencial","Evaluacion","Bitacora de reflexion","Cognitivo","Organización de contenidos","Chalk","Hibrida","Encuestas","4","5","5","4","3","2.15","3.05","4.5"
"Antropologia teologica","30","27","3","V","Presencial","Evaluacion","Trabajo de investigacion","Cognitivo","Citacion y referencias","Citavi","Propietaria","Encuestas","1","5","1","4","2","2.75","4.6","4"
"Metodos numericos","16","4","12","VI","Presencial","Evaluacion","Rœbrica","Cognitivo","Citacion y referencias","Cite This For Me","Libre","Encuestas","5","4","5","3","2","1.9","4.55","0.5"
"Metodos numericos","29","14","15","VI","Dual","Evaluacion","Clase magistral","Actitudinal","Organización de contenidos","Clarify ","Hibrida","Encuestas","2","5","4","3","4","0.45","2.05","1"
"Fundamento Matematico","82","40","42","I","Dual"," Aprendizaje interactivo","Analisis de videos, imagenes,","Actitudinal","Comunicacion en linea y webconference","Claro ","Propietaria","Video","4","5","4","4","2","2.05","0.5","3.5"
"Fisica I","102","42","60","I","Dual"," Aprendizaje interactivo","Seminario","Actitudinal","Creacion de objetos virtuales de aprendizaje","ClassCall ","Libre","Video","2","4","5","4","1","4","4.3","0.5"
"Logica Matematica","34","30","4","I","Dual"," Aprendizaje interactivo","Exposiciones","Actitudinal","Creacion de objetos virtuales de aprendizaje","Classroom screen","Hibrida","Video","2","1","1","1","4","1.45","2.65","4"
"Introduccion a la ingenieria","54","33","21","I","Dual"," Aprendizaje interactivo","Socializacion y debates","Actitudinal","Creacion de objetos virtuales de aprendizaje","Classtime","Propietaria","Video","3","1","3","4","2","3.05","1.95","2.5"
"Algoritmia","42","30","12","I","Dual"," Aprendizaje interactivo","Aprendizaje basado en problemas","Actitudinal","Organización de contenidos","ClickUp","Libre","Video","4","1","1","3","1","1.65","3.8","5"
"Tecnicas de Lectura y escrita","58","38","20","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en proyectos","Actitudinal","Mapas mentales","Coggle","Hibrida","Video llamada","5","2","3","4","4","4.45","0.6","2"
"Vida universitaria","26","12","14","I","Virtual","Aprendizaje colaborativo","Analisis y discusion grupal","Actitudinal","Mapas mentales","Cmap","Propietaria","Video llamada","4","5","3","3","5","0.15","2.65","5"
"Fisica II","45","26","19","II","Virtual","Aprendizaje colaborativo","Talleres practicos y analisis de casos ","Actitudinal","Aprendizaje Gestion de aprendizaje","Codecademy","Libre","Video llamada","4","2","2","4","4","2.95","4.9","1"
"Alegra lineal","81","23","58","II","Virtual","Aprendizaje colaborativo","Socializacion de producciones grupales  ","Actitudinal","Aprendizaje Gestion de aprendizaje","Collaboard","Hibrida","Video llamada","4","1","5","1","2","3.5","2.7","3.5"
"Teoria general de sistemas","78","32","46","II","Virtual","Aprendizaje colaborativo","Lectura independiente","Actitudinal","Organización de contenidos","Composica","Propietaria","Video llamada","1","3","1","2","1","1.7","4.4","0.5"
"Fundamentos de programacion","103","50","53","II","A distancia","Autoaprendizaje ","Indagacion y analisis de informacion","Actitudinal","Comunicacion en linea y webconference","Confluence","Libre","Video llamada","3","5","2","1","3","0.15","3.05","2.5"
"Investigacion bibliografia","56","50","6","II","A distancia","Autoaprendizaje ","Elaboracion de ensayo","Actitudinal","Creacion de objetos virtuales de aprendizaje","Construct","Hibrida","Multimedia","1","3","2","3","2","2","3.8","2"
"Catedra JDC","106","52","54","II","A distancia","Autoaprendizaje ","Produccion de texto cientifico","Actitudinal","Comunicacion en linea y webconference","Cornerstone","Propietaria","Multimedia","4","2","5","5","5","0.15","4.65","5"
"Calculo integral","22","7","15","III","A distancia","Autoaprendizaje ","Trabajo Individual","Actitudinal","Creacion de actividades educativas-interactivas","CourseLab ","Libre","Multimedia","3","3","5","2","2","0.25","0.75","0.5"
"Teoria de la probabilidad","29","14","15","III","A distancia","Autoaprendizaje ","Desarrollo de Proyecto","Actitudinal","Aprendizaje Gestion de aprendizaje","COURSERA","Hibrida","Multimedia","5","5","4","4","1","3.1","1.05","1.5"
"Electronica Basica","78","23","55","III","A distancia","Autoaprendizaje ","Estudio de caso","Procedimental","Organización de contenidos","Curatr ","Propietaria","Multimedia","3","5","3","3","5","4.95","2.55","5"
"Arquitectura de computadores","63","15","48","III","Presencial","Didactica","Resolucion de problemas","Procedimental","Creacion de actividades educativas-interactivas","d2l","Libre","Multimedia","1","3","2","1","3","2.3","0.9","4"
"Programacion orientada a objetos","65","18","47","III","Presencial","Didactica","Trabajo por proyectos","Procedimental","Organización de contenidos","Dabble","Hibrida","Tablero","5","2","1","3","1","4.85","2.1","5"
"Metodologia de la investigacion","95","42","53","III","Presencial","Didactica","Gamificacion y videojuegos educativos","Procedimental","Organización de contenidos","DeckToys","Propietaria","Tablero","2","2","1","2","2","0.25","2.8","3.5"
"Etica y convivencia","114","58","56","III","Presencial","Didactica","Clase invertida (Flipped - Clasroom)","Procedimental","Busquedad de informacion","DEEPL","Libre","Tablero","1","5","1","4","5","4.55","2.4","1.5"
"Ecuaciones diferenciales","31","14","17","IV","Presencial","Didactica","Role Playing ","Procedimental","Aprendizaje Gestion de aprendizaje","Degreed","Hibrida","Tablero","5","3","5","1","4","3.9","2.45","3.5"
"Estadistica","51","4","47","IV","Presencial","Didactica","Trabajo de investigacion","Procedimental","Organización de contenidos","Delicious ","Propietaria","Tablero","3","2","1","3","2","1.7","1.6","3"
"Electronica Digital","50","42","8","IV","Presencial","Didactica","Panel","Procedimental","Creacion de video","Descript","Libre","Tablero","4","2","3","5","1","0.8","1.5","0.5"
"Redes de computadores","23","0","23","IV","Presencial","Didactica","Simulacion Clinica","Procedimental","Organización de contenidos","DIIGO","Hibrida","Tablero","4","5","4","4","1","2.9","4.75","2"
"Estructura de datos","95","50","45","IV","Presencial","Didactica","Debate","Procedimental","Comunicacion en linea y webconference","Dimdim  ","Propietaria","Tablero","3","4","5","2","1","2.2","0.8","5"
"Creatividad","85","34","51","IV","Presencial","Didactica","Pruebas Escritas (con feedback todas las alternativas)","Cognitivo","Comunicacion en linea y webconference","DISCORD","Libre","Tablero","4","2","5","5","3","2.65","3.7","5"
"Formacion EstŽtica","89","33","56","IV","Presencial","Evaluacion","Portafolio","Cognitivo","Comunicacion en linea y webconference","Discourse","Hibrida","Tablero","5","2","3","4","3","3.95","0.65","3.5"
"Calculo multivariado","71","20","51","V","Presencial","Evaluacion","Poster","Cognitivo","Comunicacion en linea y webconference","Docebo","Propietaria","Encuestas","2","1","5","1","3","1.4","0.4","4.5"
